RANK,POS,PRANK,NAME,COLLEGE,LEVEL,RATE,GRADE
1,CB,1,Travis Hunter,Colorado,FBS,TOP 5,9.82
2,EDGE,1,Abdul Carter,Penn State,FBS,TOP 5,9.71
3,RB,1,Ashton Jeanty,Boise State,FBS,TOP 5,9.54
4,QB,1,Cam Ward,Miami (FL),FBS,1ST,9.46
5,DT,1,Mason Graham,Michigan,FBS,1ST,9.43
6,CB,2,Will Johnson,Michigan,FBS,1ST,9.42
7,LB,1,Jalon Walker,Georgia,FBS,1ST,9.39
8,DT,2,Derrick Harmon,Oregon,FBS,1ST,9.38
9,EDGE,2,Mike Green,Marshall,FBS,1ST,9.36
10,WR,1,Tetairoa McMillan,Arizona,FBS,1ST,9.32
11,TE,1,Tyler Warren,Penn State,FBS,1ST,9.31
12,OT,1,Will Campbell,LSU,FBS,1ST,9.30
13,OT,2,Armand Membou,Missouri,FBS,1ST,9.28
14,DT,3,Walter Nolen,Ole Miss,FBS,1ST,9.27
15,OT,3,Josh Simmons,Ohio State,FBS,1ST,9.26
16,S,1,Malaki Starks,Georgia,FBS,1ST,9.26
17,CB,3,Shavon Revel Jr.,East Carolina,FBS,1ST,9.25
18,TE,2,Colston Loveland,Michigan,FBS,1ST,9.22
19,OT,4,Kelvin Banks,Texas,FBS,1ST,9.20
20,EDGE,3,Donovan Ezeiruaku,Boston College,FBS,1ST,9.17
21,RB,2,Omarion Hampton,North Carolina,FBS,1ST,9.15
22,LB,2,Jihaad Campbell,Alabama,FBS,1ST,9.14
23,QB,2,Shedeur Sanders,Colorado,FBS,1ST,9.11
24,WR,2,Emeka Egbuka,Ohio State,FBS,1ST,9.09
25,DT,4,Kenneth Grant,Michigan,FBS,1ST,9.08
26,S,2,Nick Emmanwori,South Carolina,FBS,1ST,9.06
27,G,1,Jonah Savaiinaea,Arizona,FBS,1ST,9.05
28,WR,3,Luther Burden III,Missouri,FBS,1ST,9.05
29,CB,4,Benjamin Morrison,Notre Dame,FBS,1ST,9.04
30,CB,5,Jahdae Barron,Texas,FBS,1ST,9.03
31,WR,4,Matthew Golden,Texas,FBS,1ST,9.02
32,EDGE,4,James Pearce Jr.,Tennessee,FBS,1ST,9.00
33,OT,5,Josh Conerly Jr.,Oregon,FBS,2ND,8.99
34,EDGE,5,Shemar Stewart,Texas A&M,FBS,2ND,8.97
35,TE,3,Mason Taylor,LSU,FBS,2ND,8.93
36,G,2,Tate Ratledge,Georgia,FBS,2ND,8.92
37,CB,6,Trey Amos,Ole Miss,FBS,2ND,8.91
38,EDGE,6,Nic Scourton,Texas A&M,FBS,2ND,8.90
39,WR,5,Tre Harris,Ole Miss,FBS,2ND,8.84
40,G,3,Tyler Booker,Alabama,FBS,2ND,8.83
41,WR,6,Jayden Higgins,Iowa State,FBS,2ND,8.81
42,CB,7,Maxwell Hairston,Kentucky,FBS,2ND,8.79
43,DT,5,Tyleik Williams,Ohio State,FBS,2ND,8.78
44,EDGE,7,JT Tuimoloau,Ohio State,FBS,2ND,8.76
45,EDGE,8,Mykel Williams,Georgia,FBS,2ND,8.74
46,WR,7,Jack Bech,TCU,FBS,2ND,8.72
47,S,3,Kevin Winston Jr.,Penn State,FBS,2ND,8.70
48,RB,3,Kaleb Johnson,Iowa,FBS,2ND,8.67
49,C,1,Jared Wilson,Georgia,FBS,2ND,8.66
50,OT,6,Aireontae Ersery,Minnesota,FBS,2ND,8.65
51,WR,8,Kyle Williams,Washington State,FBS,2ND,8.64
52,C,2,Grey Zabel,North Dakota State,FCS,2ND,8.62
53,G,4,Donovan Jackson,Ohio State,FBS,2ND,8.60
54,DT,6,Alfred Collins,Texas,FBS,2ND,8.59
55,WR,9,Jalen Royals,Utah State,FBS,2ND,8.57
56,EDGE,9,Jordan Burch,Oregon,FBS,2ND,8.56
57,CB,8,Azareye'h Thomas,Florida State,FBS,2ND,8.55
58,DT,7,TJ Sanders,South Carolina,FBS,2ND,8.54
59,EDGE,10,Jack Sawyer,Ohio State,FBS,2ND,8.53
