YEAR,POS,R1,R2,R3,R4,R5-R7,TOTAL
2024,QB,6,0,0,0,5,11
2023,QB,3,1,1,3,6,14
2022,QB,1,0,3,1,4,9
2021,QB,5,1,2,1,1,10
2020,QB,4,1,0,2,6,13
2019,QB,3,1,1,2,4,11
2018,QB,5,0,1,1,6,13
2017,QB,3,1,2,1,3,10
2016,QB,3,1,2,3,6,15
2015,QB,2,0,2,1,2,7
2014,QB,3,2,2,2,5,14
2013,QB,1,1,1,4,4,11
2012,QB,4,1,2,1,3,11
2024,WR,7,4,5,4,15,35
2023,WR,4,4,6,3,16,33
2022,WR,6,7,4,3,8,28
2021,WR,5,5,5,5,16,36
2020,WR,6,7,2,2,17,34
2019,WR,2,7,4,3,12,28
2018,WR,2,6,2,5,18,33
2017,WR,3,3,8,7,11,32
2016,WR,4,3,2,5,19,33
2015,WR,6,3,5,4,17,35
2014,WR,5,7,3,5,13,33
2013,WR,3,3,5,4,14,29
2012,WR,4,5,4,8,12,33
2024,RB,0,1,3,6,9,19
2023,RB,2,1,4,1,10,18
2022,RB,0,3,3,5,11,22
2021,RB,2,1,1,4,10,18
2020,RB,1,5,5,4,4,19
2019,RB,1,1,5,4,12,23
2018,RB,3,4,1,5,8,21
2017,RB,2,2,4,7,11,26
2016,RB,1,1,2,3,12,19
2015,RB,2,2,4,4,9,21
2014,RB,0,3,5,6,5,19
2013,RB,0,5,1,2,14,22
2012,RB,3,2,2,2,10,19
2024,FB,0,0,0,0,1,1
2023,FB,0,0,0,0,1,1
2022,FB,0,0,0,0,2,2
2021,FB,0,0,0,0,1,1
2020,FB,0,0,0,0,0,0
2019,FB,0,0,0,0,2,2
2018,FB,0,0,0,0,1,1
2017,FB,0,0,0,0,2,2
2016,FB,0,0,0,0,3,3
2015,FB,0,0,0,1,2,3
2014,FB,0,0,0,0,3,3
2013,FB,0,0,0,1,2,3
2012,FB,0,0,0,0,2,2
2024,TE,1,1,1,6,2,11
2023,TE,1,5,3,0,6,15
2022,TE,0,1,3,6,8,18
2021,TE,1,1,3,2,4,11
2020,TE,0,1,4,4,3,12
2019,TE,2,2,4,2,6,16
2018,TE,1,2,2,5,4,14
2017,TE,3,2,1,1,7,14
2016,TE,0,1,2,2,5,10
2015,TE,0,1,3,1,14,19
2014,TE,1,3,3,0,3,10
2013,TE,1,3,2,2,8,16
2012,TE,0,1,2,5,3,11
2024,OT,8,4,3,2,9,26
2023,OT,5,1,2,4,7,19
2022,OT,5,1,3,3,8,20
2021,OT,4,6,3,4,7,24
2020,OT,6,1,3,5,5,20
2019,OT,4,4,4,0,8,20
2018,OT,2,2,7,2,5,18
2017,OT,2,2,1,2,9,16
2016,OT,5,1,2,2,9,19
2015,OT,5,4,2,4,8,23
2014,OT,5,4,3,2,8,22
2013,OT,5,1,2,1,8,17
2012,OT,2,6,2,2,8,20
2024,G,1,0,7,2,8,18
2023,G,0,3,0,5,7,15
2022,G,3,1,4,1,13,22
2021,G,1,1,3,1,7,13
2020,G,0,1,3,5,9,18
2019,G,1,1,3,5,2,12
2018,G,2,3,0,0,7,12
2017,G,0,2,1,3,5,11
2016,G,1,1,2,3,8,15
2015,G,1,2,3,5,6,17
2014,G,0,1,6,0,6,13
2013,G,3,0,4,3,7,17
2012,G,2,3,3,2,11,21
2024,C,0,2,0,1,8,11
2023,C,0,3,1,1,4,9
2022,C,1,1,1,1,3,7
2021,C,0,3,2,1,3,9
2020,C,1,0,2,1,5,9
2019,C,1,2,0,1,4,8
2018,C,2,1,1,1,3,8
2017,C,0,1,1,1,3,6
2016,C,1,1,3,0,2,7
2015,C,1,0,1,2,2,6
2014,C,0,1,2,2,5,10
2013,C,1,0,0,3,2,6
2012,C,0,1,0,2,2,5
2024,DT,2,7,2,3,11,25
2023,DT,4,2,5,2,11,24
2022,DT,2,2,3,3,12,22
2021,DT,0,2,3,4,11,20
2020,DT,2,3,5,3,8,21
2019,DT,6,1,2,2,12,23
2018,DT,3,1,6,2,13,25
2017,DT,1,2,5,4,11,23
2016,DT,5,5,5,5,3,23
2015,DT,4,2,2,4,13,25
2014,DT,2,4,4,3,9,22
2013,DT,5,2,4,1,10,22
2012,DT,3,4,4,3,12,26
2024,EDGE,4,2,4,0,10,20
2023,EDGE,7,5,4,7,9,32
2022,EDGE,5,7,4,1,10,27
2021,EDGE,6,3,5,7,13,34
2020,EDGE,2,4,7,1,14,28
2019,EDGE,7,1,5,5,12,30
2018,EDGE,2,5,6,5,7,25
2017,EDGE,8,2,7,3,10,30
2016,EDGE,3,5,5,2,8,23
